miRNA,freq,picked_by
hsa-mir-1322,3,"LASSO,SFS,VT"
hsa-mir-4506,3,"LASSO,SFS,VT"
hsa-mir-149,2,"LASSO,VT"
hsa-mir-1537,2,"LASSO,VT"
hsa-mir-3169,2,"SFS,VT"
hsa-mir-3202-2,2,"LASSO,VT"
hsa-mir-5694,2,"LASSO,VT"
hsa-mir-6822,2,"LASSO,VT"
hsa-mir-7156,2,"LASSO,VT"
hsa-let-7b,1,Chi2
hsa-mir-1-1,1,Chi2
hsa-mir-1-2,1,Chi2
hsa-mir-103b-1,1,SFS
hsa-mir-103b-2,1,SFS
hsa-mir-10a,1,Chi2
hsa-mir-10b,1,Chi2
hsa-mir-1225,1,LASSO
hsa-mir-1272,1,SFS
hsa-mir-1289-1,1,SFS
hsa-mir-133a-1,1,Chi2
hsa-mir-133a-2,1,Chi2
hsa-mir-133b,1,Chi2
hsa-mir-142,1,Chi2
hsa-mir-143,1,Chi2
hsa-mir-148a,1,Chi2
hsa-mir-15a,1,VT
hsa-mir-203a,1,Chi2
hsa-mir-206,1,Chi2
hsa-mir-21,1,Chi2
hsa-mir-211,1,SFS
hsa-mir-2467,1,VT
hsa-mir-27a,1,SFS
hsa-mir-30d,1,Chi2
hsa-mir-3151,1,LASSO
hsa-mir-3168,1,SFS
hsa-mir-3917,1,LASSO
hsa-mir-3920,1,VT
hsa-mir-4474,1,SFS
hsa-mir-4476,1,VT
hsa-mir-4488,1,LASSO
hsa-mir-4539,1,LASSO
hsa-mir-4716,1,LASSO
hsa-mir-4743,1,LASSO
hsa-mir-4783,1,SFS
hsa-mir-548x-2,1,SFS
hsa-mir-555,1,VT
hsa-mir-6129,1,SFS
hsa-mir-640,1,SFS
hsa-mir-6890,1,VT
