miRNA,freq,picked_by
hsa-mir-572,3,"LASSO,SFS,VT"
hsa-mir-1236,2,"LASSO,VT"
hsa-mir-1273c,2,"LASSO,VT"
hsa-mir-3688-1,2,"LASSO,VT"
hsa-mir-4286,2,"LASSO,VT"
hsa-mir-4637,2,"LASSO,SFS"
hsa-mir-4690,2,"LASSO,VT"
hsa-mir-548s,2,"LASSO,VT"
hsa-mir-7641-2,2,"LASSO,VT"
hsa-let-7b,1,Chi2
hsa-mir-1-1,1,Chi2
hsa-mir-1-2,1,Chi2
hsa-mir-10a,1,Chi2
hsa-mir-1178,1,SFS
hsa-mir-1193,1,LASSO
hsa-mir-1273a,1,SFS
hsa-mir-142,1,Chi2
hsa-mir-143,1,Chi2
hsa-mir-148a,1,Chi2
hsa-mir-184,1,Chi2
hsa-mir-186,1,VT
hsa-mir-203a,1,Chi2
hsa-mir-206,1,Chi2
hsa-mir-30a,1,Chi2
hsa-mir-3133,1,SFS
hsa-mir-3529,1,SFS
hsa-mir-3665,1,SFS
hsa-mir-3685,1,SFS
hsa-mir-375,1,Chi2
hsa-mir-378d-1,1,SFS
hsa-mir-3926-1,1,VT
hsa-mir-3929,1,LASSO
hsa-mir-4420,1,SFS
hsa-mir-4436b-2,1,LASSO
hsa-mir-4454,1,VT
hsa-mir-4648,1,LASSO
hsa-mir-4659b,1,SFS
hsa-mir-4667,1,SFS
hsa-mir-4770,1,VT
hsa-mir-548ao,1,SFS
hsa-mir-555,1,SFS
hsa-mir-5690,1,LASSO
hsa-mir-598,1,LASSO
hsa-mir-6087,1,VT
hsa-mir-6742,1,VT
hsa-mir-708,1,SFS
hsa-mir-7641-1,1,VT
hsa-mir-9-1,1,Chi2
hsa-mir-9-2,1,Chi2
hsa-mir-9-3,1,Chi2
