miRNA,abs_coef
hsa-mir-1322,0.27253632081404705
hsa-mir-1225,0.24108107517276117
hsa-mir-6822,0.17948582518676942
hsa-mir-4783,0.17850182476112886
hsa-mir-4539,0.17562654818127224
hsa-mir-3151,0.16909036535227587
hsa-mir-3612,0.15077578731226549
hsa-mir-1911,0.14365641733495835
hsa-mir-4712,0.14033796045825878
hsa-mir-5708,0.13626705786739038
hsa-mir-3162,0.13600795998124088
hsa-mir-4506,0.1276951699827356
hsa-mir-4784,0.12658307361493226
hsa-mir-6723,0.11577491474265968
hsa-mir-6884,0.11567149757885857
hsa-mir-409,0.11563859048410276
hsa-mir-572,0.1109904354050332
hsa-mir-548o-2,0.1105608325482276
hsa-mir-4743,0.10961043704287492
hsa-mir-3614,0.10586165695801585
hsa-mir-1537,0.10000925532933866
hsa-mir-490,0.09519483727802142
hsa-mir-4670,0.0947260367862486
hsa-mir-6129,0.09329859792230308
hsa-mir-1193,0.09070559959897802
hsa-mir-933,0.08946567431459129
hsa-mir-6080,0.08362065348808416
hsa-mir-5087,0.08219468758336963
hsa-mir-6875,0.08113907380900606
hsa-mir-3161,0.08057021556656811
hsa-mir-6757,0.07952698755739682
hsa-mir-555,0.07950553362901612
hsa-mir-153-2,0.07792349030719804
hsa-mir-1323,0.07645863561090652
hsa-mir-5582,0.07526145572813722
hsa-mir-383,0.07497911494436975
hsa-mir-4770,0.07425125028716065
hsa-mir-6767,0.07328880600432054
hsa-mir-3193,0.07244178627425298
hsa-mir-3165,0.0695553551302342
hsa-mir-4520-2,0.06831139131555772
hsa-mir-6505,0.06759548701562204
hsa-mir-99a,0.0663308550453237
hsa-mir-4653,0.06496478311599296
hsa-mir-5187,0.06269296483230673
hsa-mir-5693,0.06208159316090841
hsa-mir-4804,0.06127216761405449
hsa-mir-3620,0.059765024773035705
hsa-mir-200c,0.058990407010436376
hsa-mir-548ax,0.05897517132907454
hsa-mir-1244-2,0.058219091797683566
hsa-mir-6890,0.05812414276876891
hsa-mir-302b,0.05544827677421157
hsa-mir-3149,0.05515079274668745
hsa-mir-4422,0.05225262156738098
hsa-mir-4687,0.05153261686763788
hsa-mir-6866,0.051248807621146565
hsa-mir-320d-1,0.04996133203429792
hsa-mir-4259,0.0490404495879387
hsa-mir-3152,0.048993027129694944
hsa-mir-3158-1,0.048841689339298396
hsa-mir-5692c-2,0.04807921757930039
hsa-mir-128-2,0.04804578790320639
hsa-mir-605,0.047136206440012374
hsa-mir-525,0.04667602640512954
hsa-mir-4767,0.04646024158335181
hsa-mir-6749,0.04596538077139066
hsa-mir-4682,0.045742994251297374
hsa-mir-521-1,0.045559463752708376
hsa-mir-2467,0.045483990135588015
hsa-mir-3926-2,0.04423633568348353
hsa-mir-552,0.04383769326766898
hsa-mir-4419b,0.04274196716860848
hsa-mir-4284,0.042485234388485
hsa-mir-5010,0.04232393786166123
hsa-mir-4632,0.04174816183364518
hsa-mir-371b,0.04166877494464467
hsa-mir-1237,0.041353326411794025
hsa-mir-4494,0.04097029083522226
hsa-mir-6824,0.04043197131290344
hsa-mir-761,0.039405197766500685
hsa-mir-1267,0.03896092701724121
hsa-mir-4700,0.038907026432647235
hsa-mir-6766,0.03664654174589238
hsa-mir-320c-2,0.035943779999350244
hsa-mir-548ag-1,0.034957997661415836
hsa-mir-5583-2,0.034783090558637556
hsa-mir-4696,0.03457892048190857
hsa-mir-6828,0.034468860535809
hsa-mir-4254,0.034008968756740615
hsa-mir-4450,0.03363232901295072
hsa-mir-4505,0.03335129410567896
hsa-mir-4451,0.03202496161553487
hsa-mir-126,0.03162466155537714
hsa-mir-4794,0.030682103260765786
hsa-mir-1299,0.029868585571425087
hsa-mir-6087,0.0289067091023786
hsa-mir-6891,0.027348683730558532
hsa-mir-4536-1,0.026555329128773165
hsa-mir-3125,0.026428606994213805
hsa-mir-548k,0.02584691068180726
hsa-mir-4699,0.025024959498645954
hsa-mir-1914,0.024612963635741978
hsa-mir-4745,0.023434063055770605
hsa-mir-3678,0.02278571261525952
hsa-mir-5681b,0.022425501310851956
hsa-mir-640,0.022161318772523024
hsa-mir-4517,0.0211214167225551
hsa-mir-4719,0.020841801327294886
hsa-mir-149,0.019712498907909402
hsa-mir-4660,0.019671475614937314
hsa-mir-6840,0.01920786566414496
hsa-mir-3650,0.018901211532131656
hsa-mir-3675,0.01840634791508549
hsa-mir-5682,0.017589797417976144
hsa-mir-6088,0.017181453675612475
hsa-mir-219a-2,0.016724146759549346
hsa-mir-4536-2,0.016360896342040694
hsa-mir-7855,0.016255842064640397
hsa-mir-3914-1,0.016251466268068615
hsa-mir-623,0.016104435219750503
hsa-mir-3201,0.015672983916442527
hsa-mir-3187,0.015124316124473906
hsa-mir-7107,0.01339068834364423
hsa-mir-4726,0.013259213428219613
hsa-mir-3176,0.012820599835021373
hsa-mir-378h,0.012122382364204307
hsa-mir-7157,0.01078528444442255
hsa-mir-5192,0.010594480317284998
hsa-mir-4675,0.010292970497395906
hsa-mir-4762,0.01028845217461254
hsa-mir-6732,0.00973165409978039
hsa-mir-146b,0.008579208876294585
hsa-mir-6073,0.008435077567488538
hsa-mir-4763,0.007995376114967256
hsa-mir-6759,0.007661293366849541
hsa-mir-1271,0.005931559785558309
hsa-mir-3116-2,0.005882389180690593
hsa-mir-449a,0.005208763851165854
hsa-mir-7847,0.004616916595480225
hsa-mir-3939,0.004223242632667102
hsa-mir-3192,0.004107227461150868
hsa-mir-4498,0.004010364533925515
hsa-mir-6735,0.0038740172175771824
hsa-mir-3912,0.003343794511836709
hsa-mir-124-1,0.0025020229526114173
hsa-mir-219b,0.0016566727690535416
hsa-mir-513a-2,0.0009768035068830453
hsa-mir-6857,0.0008932733881895414
hsa-mir-4676,0.0007403845927573875
hsa-mir-5588,0.0006394269672145117
hsa-mir-1236,0.0002782458712096219
hsa-mir-3147,3.110852766167009e-05
hsa-mir-4655,0.0
hsa-mir-1273h,0.0
hsa-mir-6515,0.0
hsa-mir-6715b,0.0
hsa-mir-105-1,0.0
hsa-mir-4442,0.0
hsa-mir-1539,0.0
hsa-mir-6815,0.0
hsa-mir-3199-1,0.0
hsa-mir-374c,0.0
hsa-mir-4526,0.0
hsa-mir-7155,0.0
hsa-mir-4781,0.0
hsa-mir-3156-2,0.0
hsa-mir-1244-4,0.0
hsa-mir-4785,0.0
hsa-mir-4688,0.0
hsa-mir-3143,0.0
hsa-mir-599,0.0
hsa-mir-3688-1,0.0
hsa-mir-4686,0.0
hsa-mir-1246,0.0
hsa-mir-6734,0.0
hsa-mir-3156-1,0.0
hsa-mir-548ah,0.0
hsa-mir-519e,0.0
hsa-mir-4692,0.0
hsa-mir-4738,0.0
hsa-mir-6852,0.0
hsa-mir-6825,0.0
hsa-mir-6729,0.0
hsa-mir-579,0.0
hsa-mir-5692a-2,0.0
hsa-mir-1912,0.0
hsa-mir-4714,0.0
hsa-mir-6507,0.0
hsa-mir-7854,0.0
hsa-mir-617,0.0
hsa-mir-3144,0.0
hsa-mir-4427,0.0
hsa-mir-2909,0.0
hsa-mir-6873,0.0
hsa-mir-4764,0.0
hsa-mir-4537,0.0
hsa-mir-4524a,0.0
hsa-mir-1243,0.0
hsa-mir-4790,0.0
hsa-mir-2681,0.0
hsa-mir-3680-2,0.0
hsa-mir-6752,0.0
hsa-mir-561,0.0
hsa-mir-3154,0.0
hsa-mir-510,0.0
hsa-mir-548a-1,0.0
hsa-mir-513b,0.0
hsa-mir-4279,0.0
hsa-mir-3178,0.0
hsa-mir-5007,0.0
hsa-mir-3180-5,0.0
hsa-mir-1199,0.0
hsa-mir-512-2,0.0
hsa-mir-6883,0.0
hsa-mir-7849,0.0
hsa-mir-6738,0.0
hsa-mir-4802,0.0
hsa-mir-1185-1,0.0
hsa-mir-4758,0.0
hsa-mir-5189,0.0
hsa-mir-943,0.0
hsa-mir-1231,0.0
hsa-mir-4776-2,0.0
hsa-mir-4465,0.0
hsa-mir-7161,0.0
hsa-mir-507,0.0
hsa-mir-198,0.0
hsa-mir-4796,0.0
hsa-mir-6859-4,0.0
hsa-mir-6791,0.0
hsa-mir-4315-2,0.0
hsa-mir-6849,0.0
hsa-mir-630,0.0
hsa-mir-3182,0.0
hsa-mir-3921,0.0
hsa-mir-3679,0.0
hsa-mir-2682,0.0
hsa-mir-4744,0.0
hsa-mir-4436b-2,0.0
hsa-mir-1265,0.0
hsa-mir-3663,0.0
hsa-mir-5011,0.0
hsa-mir-378g,0.0
hsa-mir-6850,0.0
hsa-mir-5093,0.0
hsa-mir-4464,0.0
hsa-mir-6821,0.0
hsa-mir-548w,0.0
hsa-mir-3925,0.0
hsa-mir-4708,0.0
hsa-mir-6500,0.0
hsa-mir-638,0.0
hsa-mir-4437,0.0
hsa-mir-6823,0.0
hsa-mir-6770-2,0.0
hsa-mir-6770-1,0.0
hsa-mir-6886,0.0
hsa-mir-802,0.0
hsa-mir-150,0.0
hsa-mir-3652,0.0
hsa-mir-3656,0.0
hsa-mir-3146,0.0
hsa-mir-1178,0.0
hsa-mir-3911,0.0
hsa-mir-6795,0.0
hsa-mir-3938,0.0
hsa-mir-4720,0.0
hsa-mir-181a-1,0.0
hsa-mir-6853,0.0
hsa-mir-1285-1,0.0
hsa-mir-2113,0.0
hsa-mir-571,0.0
hsa-mir-564,0.0
hsa-mir-7109,0.0
hsa-mir-4747,0.0
hsa-mir-1289-2,0.0
hsa-mir-548ar,0.0
hsa-mir-4438,0.0
hsa-mir-371a,0.0
hsa-mir-548ba,0.0
hsa-mir-1278,0.0
hsa-mir-4666a,0.0
hsa-mir-3184,0.0
hsa-mir-6084,0.0
hsa-mir-23c,0.0
hsa-mir-657,0.0
hsa-mir-3145,0.0
hsa-mir-515-2,0.0
hsa-mir-4322,0.0
hsa-mir-1915,0.0
hsa-mir-7641-2,0.0
hsa-mir-622,0.0
hsa-mir-4646,0.0
hsa-mir-6787,0.0
hsa-mir-3121,0.0
hsa-mir-602,0.0
hsa-mir-548al,0.0
hsa-mir-4757,0.0
hsa-mir-4471,0.0
hsa-mir-7848,0.0
hsa-mir-6726,0.0
hsa-mir-4733,0.0
hsa-mir-378b,0.0
hsa-mir-553,0.0
hsa-mir-518b,0.0
hsa-mir-4748,0.0
hsa-mir-6081,0.0
hsa-mir-6719,0.0
hsa-mir-3155a,0.0
hsa-mir-4800,0.0
hsa-mir-5579,0.0
hsa-mir-4703,0.0
hsa-mir-515-1,0.0
hsa-mir-4480,0.0
hsa-mir-3180-4,0.0
hsa-mir-548ao,0.0
hsa-mir-499b,0.0
hsa-mir-6878,0.0
hsa-mir-378j,0.0
hsa-mir-3198-1,0.0
hsa-mir-3658,0.0
hsa-mir-520g,0.0
hsa-mir-4717,0.0
hsa-mir-4741,0.0
hsa-mir-6132,0.0
hsa-mir-6788,0.0
hsa-mir-3132,0.0
hsa-mir-600,0.0
hsa-mir-6812,0.0
hsa-mir-6773,0.0
hsa-mir-5090,0.0
hsa-mir-5004,0.0
hsa-mir-4420,0.0
hsa-mir-4647,0.0
hsa-mir-516a-2,0.0
hsa-mir-1283-2,0.0
hsa-mir-449b,0.0
hsa-mir-3188,0.0
hsa-mir-1295b,0.0
hsa-mir-4650-1,0.0
hsa-mir-935,0.0
hsa-mir-4768,0.0
hsa-mir-491,0.0
hsa-mir-4782,0.0
hsa-mir-5572,0.0
hsa-mir-136,0.0
hsa-mir-4798,0.0
hsa-mir-504,0.0
hsa-mir-193b,0.0
hsa-mir-216a,0.0
hsa-mir-5581,0.0
hsa-mir-6736,0.0
hsa-mir-592,0.0
hsa-mir-6739,0.0
hsa-mir-543,0.0
hsa-mir-196a-1,0.0
hsa-mir-4467,0.0
hsa-mir-6835,0.0
hsa-mir-6720,0.0
hsa-mir-5685,0.0
hsa-mir-3662,0.0
hsa-mir-345,0.0
hsa-mir-1179,0.0
hsa-mir-125a,0.0
hsa-mir-4491,0.0
hsa-mir-4527,0.0
hsa-mir-6768,0.0
hsa-mir-584,0.0
hsa-mir-891a,0.0
hsa-mir-519a-1,0.0
hsa-mir-1538,0.0
hsa-mir-4671,0.0
hsa-mir-4659a,0.0
hsa-mir-4694,0.0
hsa-mir-3661,0.0
hsa-mir-3690-1,0.0
hsa-mir-769,0.0
hsa-mir-939,0.0
hsa-mir-494,0.0
hsa-mir-6784,0.0
hsa-mir-4662b,0.0
hsa-mir-6854,0.0
hsa-mir-3944,0.0
hsa-mir-3942,0.0
hsa-mir-6877,0.0
hsa-mir-125b-2,0.0
hsa-mir-466,0.0
hsa-mir-4513,0.0
hsa-mir-1287,0.0
hsa-mir-129-2,0.0
hsa-mir-518a-1,0.0
hsa-mir-517b,0.0
hsa-mir-522,0.0
hsa-mir-4766,0.0
hsa-mir-548l,0.0
hsa-mir-548t,0.0
hsa-mir-190a,0.0
hsa-mir-3124,0.0
hsa-mir-378d-2,0.0
hsa-mir-4760,0.0
hsa-mir-33a,0.0
hsa-mir-5001,0.0
hsa-mir-27b,0.0
hsa-mir-3928,0.0
hsa-mir-2277,0.0
hsa-mir-29c,0.0
hsa-mir-1270,0.0
hsa-mir-585,0.0
hsa-mir-6874,0.0
hsa-mir-655,0.0
hsa-mir-3127,0.0
hsa-mir-614,0.0
hsa-mir-508,0.0
hsa-mir-3922,0.0
hsa-mir-184,0.0
hsa-mir-6880,0.0
hsa-mir-130a,0.0
hsa-let-7a-1,0.0
hsa-mir-196a-2,0.0
hsa-mir-376a-1,0.0
hsa-mir-96,0.0
hsa-mir-6769a,0.0
hsa-mir-6769b,0.0
hsa-mir-874,0.0
hsa-mir-4473,0.0
hsa-mir-888,0.0
hsa-mir-450b,0.0
hsa-mir-3166,0.0
hsa-mir-361,0.0
hsa-mir-34b,0.0
hsa-mir-3683,0.0
hsa-mir-3677,0.0
hsa-mir-550a-1,0.0
hsa-mir-1234,0.0
hsa-mir-4636,0.0
hsa-mir-4773-1,0.0
hsa-mir-1303,0.0
hsa-mir-484,0.0
hsa-mir-629,0.0
hsa-mir-539,0.0
hsa-mir-3130-1,0.0
hsa-mir-199a-2,0.0
hsa-mir-4434,0.0
hsa-mir-4278,0.0
hsa-mir-1228,0.0
hsa-mir-190b,0.0
hsa-mir-4444-2,0.0
hsa-mir-4492,0.0
hsa-mir-891b,0.0
hsa-mir-6765,0.0
hsa-mir-135b,0.0
hsa-mir-548aq,0.0
hsa-mir-758,0.0
hsa-mir-548au,0.0
hsa-mir-194-1,0.0
hsa-mir-7106,0.0
hsa-mir-770,0.0
